time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
4771.43333334,58.397599,26.755579,80.0,6.0,,0.0,12,gps,,,,,,,
6771.43333334,58.397617,26.755570,75.0,3.0,31.0,1.389152304,12,gps,0.6,0.7,0.9,21.0,,,
7771.43333334,58.397631,26.755584,75.0,3.0,58.4,5.30031996,11,gps,0.6,0.7,0.9,21.0,,,
8771.43333334,58.397638,26.755602,76.0,3.0,58.7,4.76847144,12,gps,0.6,0.7,0.9,21.0,,,UNKNOWN
9771.43333334,58.397630,26.755612,77.0,3.0,163.8,7.10113104,12,gps,0.6,0.7,0.9,21.0,,,
10771.4333333,58.397610,26.755617,77.0,3.0,166.5,9.64826892,11,gps,0.6,0.7,0.9,21.0,,,
11771.4333333,58.397598,26.755616,77.0,3.0,166.9,5.01990264,12,gps,0.6,0.7,0.9,21.0,,,
12771.4333333,58.397597,26.755615,77.0,3.0,166.7,0.922752432,12,gps,0.6,0.7,0.9,21.0,,,
13771.4333333,58.397596,26.755614,77.0,3.0,,0.252,12,gps,0.6,0.7,0.9,21.0,,,
14771.4333333,58.397590,26.755612,78.0,3.0,170.0,2.232,12,gps,0.6,0.7,0.9,21.0,,,
15771.4333333,58.397588,26.755611,78.0,3.0,,0.072,12,gps,0.6,0.7,0.9,21.0,,,
16771.4333333,58.397586,26.755609,78.0,3.0,170.0,0.661851972,12,gps,0.6,0.7,0.9,21.0,,,
17771.4333333,58.397581,26.755606,77.0,3.0,170.0,2.618365788,12,gps,0.6,0.7,0.9,21.0,,,
18771.4333333,58.397576,26.755601,78.0,3.0,170.1,1.769867856,12,gps,0.6,0.7,0.9,21.0,,,
19771.4333333,58.397575,26.755594,78.0,3.0,,0.0,12,gps,0.6,0.7,0.9,21.0,,,
20771.4333333,58.397575,26.755593,79.0,3.0,,0.0,12,gps,0.6,0.7,0.9,21.0,,,
22771.4333333,58.397575,26.755590,79.0,3.0,,0.0,12,gps,0.6,0.7,0.9,21.0,,,
23771.4333333,58.397573,26.755589,79.0,3.0,170.0,0.769592088,12,gps,0.6,0.7,0.9,21.0,,,
24771.4333333,58.397566,26.755596,79.0,3.0,169.6,3.60287892,12,gps,0.6,0.7,0.9,21.0,,,ON_FOOT
25771.4333333,58.397556,26.755615,79.0,3.0,126.8,5.73124068,12,gps,0.6,0.7,0.9,21.0,,,
26771.4333333,58.397550,26.755645,79.0,3.0,125.3,6.696,12,gps,0.6,0.7,0.9,21.0,,,
27771.4333333,58.397551,26.755683,79.0,3.0,86.4,7.75204668,12,gps,0.6,0.7,0.9,21.0,,,
28771.4333333,58.397561,26.755718,79.0,3.0,64.4,7.95673296,12,gps,0.6,0.7,0.9,21.0,,,
29771.4333333,58.397579,26.755742,79.0,3.0,35.6,7.99272972,12,gps,0.6,0.7,0.9,21.0,,,
30771.4333333,58.397600,26.755753,79.0,3.0,19.7,7.29202176,12,gps,0.6,0.7,0.9,21.0,,,
31771.4333333,58.397622,26.755752,79.0,3.0,0.8,7.92073656,12,gps,0.6,0.7,0.9,21.0,,,
32771.4333333,58.397643,26.755739,79.0,3.0,345.6,7.79231664,12,gps,0.6,0.7,0.9,21.0,,,
33771.4333333,58.397665,26.755721,79.0,3.0,339.4,8.6040756,11,gps,0.6,0.7,0.9,21.0,,,
34771.4333333,58.397687,26.755704,79.0,3.0,338.2,8.82066096,11,gps,0.6,0.7,0.9,21.0,,,
35771.4333333,58.397710,26.755688,79.0,3.0,339.0,9.036072,11,gps,0.6,0.7,0.9,21.0,,,
36771.4333333,58.397733,26.755670,79.0,3.0,339.5,8.89207308,12,gps,0.6,0.7,0.9,21.0,,,
37771.4333333,58.397760,26.755650,79.0,3.0,339.4,10.7282412,12,gps,0.6,0.7,0.9,21.0,,,
38771.4333333,58.397788,26.755629,79.0,3.0,338.8,11.6282232,12,gps,0.6,0.7,0.9,21.0,,,
39771.4333333,58.397820,26.755607,79.0,3.0,338.6,13.03204932,12,gps,0.6,0.7,0.9,21.0,,,
40771.4333333,58.397851,26.755583,79.0,3.0,338.7,12.7442034,12,gps,0.6,0.7,0.9,21.0,,,
41771.4333333,58.397883,26.755562,79.0,3.0,339.1,13.32004896,12,gps,0.6,0.7,0.9,21.0,,,
42771.4333333,58.397917,26.755540,79.0,3.0,339.5,14.076,12,gps,0.6,0.7,0.9,21.0,,,UNKNOWN
43771.4333333,58.397953,26.755517,79.0,3.0,339.8,14.61639816,12,gps,0.6,0.7,0.9,21.0,,,
44771.4333333,58.397988,26.755496,79.0,3.0,340.8,14.5108584,12,gps,0.6,0.7,0.9,21.0,,,
45771.4333333,58.398023,26.755476,79.0,3.0,341.4,14.18514192,11,gps,0.6,0.7,0.9,21.0,,,
46771.4333333,58.398057,26.755455,79.0,3.0,341.6,13.93274376,11,gps,0.6,0.7,0.9,21.0,,,
