time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
5905.90000001,58.397652,26.755758,78.0,5.0,353.2,2.0469411,10,gps,,,,,,,STILL
6905.90000001,58.397649,26.755767,73.0,4.0,,0.0,10,gps,0.7,0.8,1.0,21.0,,,
7905.90000001,58.397655,26.755771,76.0,3.0,,0.216,11,gps,0.7,0.8,1.0,21.0,,,
8905.90000001,58.397655,26.755778,77.0,3.0,139.8,2.09667168,11,gps,0.7,0.8,1.0,21.0,,,
9905.90000001,58.397659,26.755778,78.0,3.0,,0.0,12,gps,0.7,0.8,1.0,21.0,,,
10905.9,58.397659,26.755782,79.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
11905.9,58.397658,26.755788,80.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
12905.9,58.397660,26.755793,80.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
13905.9,58.397663,26.755794,80.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
14905.9,58.397664,26.755794,80.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
15905.9,58.397665,26.755792,79.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
16905.9,58.397667,26.755790,79.0,3.0,,0.0,12,gps,0.6,0.7,1.0,21.0,,,
17905.9,58.397668,26.755791,78.0,3.0,,0.036,12,gps,0.6,0.7,1.0,21.0,,,
18905.9,58.397674,26.755785,78.0,3.0,330.1,3.24179928,12,gps,0.6,0.7,1.0,21.0,,,
19905.9,58.397690,26.755768,77.0,3.0,320.9,7.812,12,gps,0.6,0.7,1.0,21.0,,,
20905.9,58.397718,26.755738,78.0,3.0,316.3,13.75218756,12,gps,0.6,0.7,1.0,21.0,,,
21905.9,58.397772,26.755721,77.0,3.0,339.0,19.62029628,11,gps,0.6,0.7,1.0,21.0,,,
22905.9,58.397829,26.755684,77.0,3.0,339.7,23.00538132,11,gps,0.6,0.7,1.0,21.0,,,
24905.9,58.397954,26.755601,77.0,3.0,339.1,28.54820376,10,gps,0.6,0.7,1.0,21.0,,,
