time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
10076.7333333,58.390142,26.728976,73.9000015258789,14.0,136.2,0.9,10,gps,,,,,,,
13234.7333333,58.390161,26.729010,76.30000305175781,8.0,136.2,1.8,14,gps,0.9,0.8,1.2,21.0,,,
14234.7333333,58.390171,26.728987,72.9000015258789,5.0,136.2,0.9,16,gps,0.7,0.7,1.0,21.0,,,
15234.7333333,58.390177,26.728970,71.19999694824219,5.0,136.2,0.9,16,gps,0.7,0.7,1.0,21.0,,,
16234.7333333,58.390186,26.728954,69.69999694824219,5.0,136.2,0.9,17,gps,0.7,0.7,1.0,21.0,,,
17234.7333333,58.390196,26.728940,67.0,4.0,136.2,0.9,17,gps,0.7,0.7,1.0,21.0,,,
18234.7333333,58.390210,26.728931,69.69999694824219,4.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
19234.7333333,58.390217,26.728926,70.0,3.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
20234.7333333,58.390220,26.728926,70.4000015258789,3.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
21234.7333333,58.390223,26.728927,69.69999694824219,3.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
22234.7333333,58.390225,26.728927,70.4000015258789,3.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
23234.7333333,58.390227,26.728927,70.0,3.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
24234.7333333,58.390228,26.728928,70.19999694824219,4.0,,0.0,16,gps,0.7,0.7,1.0,21.0,,,
25234.7333333,58.390230,26.728928,69.80000305175781,4.0,,0.0,16,gps,0.8,0.7,1.1,21.0,,,
26234.7333333,58.390231,26.728929,69.9000015258789,4.0,,0.0,16,gps,0.8,0.7,1.1,21.0,,,
27234.7333333,58.390230,26.728928,69.69999694824219,3.0,,0.0,16,gps,0.8,0.7,1.1,21.0,,,
28234.7333333,58.390230,26.728928,69.4000015258789,3.0,,0.0,16,gps,0.8,0.7,1.1,21.0,,,
29234.7333333,58.390230,26.728926,68.9000015258789,4.0,,0.0,16,gps,0.8,0.7,1.1,21.0,,,
30234.7333333,58.390230,26.728926,69.4000015258789,4.0,,0.0,16,gps,0.9,0.8,1.2,21.0,,,
31234.7333333,58.390230,26.728926,69.4000015258789,4.0,,0.0,16,gps,0.9,0.8,1.2,21.0,,,
32234.7333333,58.390222,26.728924,69.30000305175781,4.0,186.7,2.7,16,gps,0.9,0.8,1.2,21.0,,,
33234.7333333,58.390209,26.728920,70.30000305175781,4.0,188.9,4.5,12,gps,0.9,0.8,1.2,21.0,,,
34234.7333333,58.390193,26.728913,70.19999694824219,4.0,191.7,5.4,12,gps,0.9,0.8,1.2,21.0,,,
35234.7333333,58.390171,26.728898,70.4000015258789,4.0,196.8,7.2,12,gps,0.8,0.8,1.1,21.0,,,IN_VEHICLE
36604.7333333,58.390131,26.728854,69.9000015258789,3.0,206.6,9.0,15,gps,0.8,0.8,1.1,21.0,,,
38234.7333333,58.390098,26.728816,69.30000305175781,4.0,209.1,8.1,15,gps,0.7,0.8,1.0,21.0,,,
39234.7333333,58.390080,26.728792,69.0999984741211,4.0,212.0,7.2,15,gps,0.7,0.8,1.0,21.0,,,IN_VEHICLE
